gene_name	array_data_file_names	composite_element_ref	antibody_validation_status	antibody_origin	antibody_source_company	catalog_number	protein_function_and_regulatory_pathways	protein_name
PRKCB	PKC-pan_BetaII_pS660-R-V_GBL1115784.txt	PKC-pan_BetaII_pS660-R-V	Validated	Rabbit	CST	9371	Activation of protein kinase C (PKC) is one of the earliest events in a cascade that controls a variety of cellular responses, including secretion, gene expression, proliferation, and muscle contraction	PKC-pan_BetaII_pS660
PGR	PR-R-V_GBL1115702.txt	PR-R-V	Validated	Rabbit	Epitomics	1483-1	Progesterone receptor, Transcription Factor	PR
AKT1S1	PRAS40_pT246-R-V_GBL1115722.txt	PRAS40_pT246-R-V	Validated	Rabbit	Biosource	441100G	PRAS40 is a 14-3-3 binding protein that reacts with insulin. PRAS40 is phosphorylated by AKT	PRAS40_pT246
PRDX1	PRDX1-R-V_GBL1115796.txt	PRDX1-R-V	Under Evaluation	Rabbit	Sigma/Atlas	HPA007730	A member of the peroxiredoxin family of antioxidant enzymes, which reduce hydrogen peroxide and alkyl hydroperoxides. 	PRDX1
PREX1	PREX1-R-E_GBL1115851.txt	PREX1-R-E	Under Evaluation	Rabbit	Abcam	ab102739	Downstream of Heterotrimric G proteins (Guanine nucleotide exchange factor)	PREX1
PTEN	PTEN-R-V_GBL1115704.txt	PTEN-R-V	Validated	Rabbit	CST	9552	A lipid and protein phosphatase, a tumor suppressor, Major negative regulator of PI3K/AKT signaling	PTEN
RAB11A RAB11B	Rab11-R-E_GBL1115770.txt	Rab11-R-E	Under Evaluation	Rabbit	CST	3539	Rab11 family posseses small Ras-like GTPase activity. Rab11 family includes Rab11a, Rab11b and Rab25 	Rab11
RAB25	Rab25-R-V_GBL1115789.txt	Rab25-R-V	Validated	Rabbit	CST	4314	A member of Rab11 family posseses small Ras-like GTPase activity.  Increased Rab25 expression is associated with aggressive growth in ovarian and breast cancer, where Rab25 may inhibit apoptosis and promote cancer cell proliferation and invasion through regulation of vesicle transport and cellular motility.	Rab25
RAD50	Rad50-M-V_GBL1115799.txt	Rad50-M-V	Validated	Mouse	Millipore	05-525	Involved in DNA double-strand break repair	Rad50
RAD51	Rad51-R-V_GBL1115797.txt	Rad51-R-V	Under Evaluation	Mouse	Chem Biotech	na 71	Involved in DNA double-strand break repair	Rad51
RPTOR	Raptor-R-V_GBL1115781.txt	Raptor-R-V	Validated	Rabbit	CST	2280	The regulatory associated protein of mTOR (Raptor) was identified as an mTOR binding partner that mediates mTOR signaling to downstream targets. Recently raptor has been identified as a direct substrate of the AMP-activated protein kinase (AMPK). 	Raptor
RB1	Rb-M-QC_GBL1115824.txt	Rb-M-QC	**Used for QC**	Mouse	CST	9309	The retinoblastoma tumor suppressor protein Rb regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle. Rb has three functionally distinct binding domains and interacts with critical regulatory proteins including the E2F family of transcription factors, c-Abl tyrosine kinase, and proteins with a conserved LXCXE motif (2-4). Cell cycle-dependent phosphorylation by a CDK inhibits Rb target binding and allows cell cycle progression. Rb inactivation and subsequent cell cycle progression likely requires an initial phosphorylation by cyclin D-CDK4/6 followed by cyclin E-CDK2 phosphorylation. Specificity of different CDK/cyclin complexes has been observed in vitro and cyclin D1 is required for Ser780 phosphorylation in vivo.	Rb-M-QC
RBM15	RBM15-R-V_GBL1115785.txt	RBM15-R-V	Validated	Rabbit	SDI / Novus	21390002	RBM15, have repressor function in several signaling pathways	RBM15
RB1	Rb_pS807_S811-R-V_GBL1115703.txt	Rb_pS807_S811-R-V	Validated	Rabbit	CST	9308	The retinoblastoma tumor suppressor protein regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle	Rb_pS807_S811
RICTOR	Rictor-R-C_GBL1115782.txt	Rictor-R-C	Use with Caution	Rabbit	CST	2114	Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT	Rictor
RICTOR	Rictor_pT1135-R-V_GBL1115783.txt	Rictor_pT1135-R-V	Validated	Rabbit	CST	3806	Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT	Rictor_pT1135
RPS6	S6-R-E_GBL1115706.txt	S6-R-E	Under Evaluation	Rabbit	CST	2217	Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation	S6
RPS6	S6_pS235_S236-R-V_GBL1115707.txt	S6_pS235_S236-R-V	Validated	Rabbit	CST	2211	Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation	S6_pS235_S236
RPS6	S6_pS240_S244-R-V_GBL1115708.txt	S6_pS240_S244-R-V	Validated	Rabbit	CST	2215	Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation	S6_pS240_S244
SCD	SCD-M-V_GBL1115838.txt	SCD-M-V	Validated	Mouse	Santa Cruz	sc-58420	Stearoyl-CoA desaturase (SCD) is a microsomal enzyme required for the synthesis of oleate and palmitoleate, which are the major monounsaturated fatty acids of membrane phospholipids, triglycerides and cholesterol esters.	SCD
SETD2	SETD2-R-QC_GBL1115758.txt	SETD2-R-QC	**Used for QC**	Rabbit	Abcam	ab69836	SETD2 is a Histone methyltransferase that methylates 'Lys-36' of histone H3. H3 'Lys-36' methylation represents a specific tag for epigenetic transcriptional activation. Probably plays a role in chromatin structure modulation during elongation via its interaction with hyperphosphorylated POLR2A. Binds DNA at promoters. May also act as a transcription activator that binds to promoters. Binds to the promoters of adenovirus 12 E1A gene in case of infection, possibly leading to regulate its expression.	SETD2-R-QC
SRSF1	SF2-M-V_GBL1115839.txt	SF2-M-V	Validated	Mouse	Invitrogen	32-4500	The SF proteins are essential splicing factors and also regulate alternative splicing of many pre-mRNAs.	SF2
SHC1	Shc_pY317-R-E_GBL1115757.txt	Shc_pY317-R-E	Validated	Rabbit	CST	2431	Serves as a scaffold protein in signaling for a variety of receptor tyrosine kinases	Shc_pY317
DIABLO	Smac-M-QC_GBL1115825.txt	Smac-M-QC	**Used for QC**	Mouse	CST	2954	Smac/Diablo is a 21 kDa mammalian mitochondrial protein that functions as a regulatory component during apoptosis. Upon mitochondrial stress, Smac/Diablo is released from mitochondria and competes with caspases for binding of IAPs (inhibitor of apoptosis proteins). The interaction of Smac/Diablo with IAPs relieves the inhibitory effect of the IAPs on caspases. This interaction involves mainly the amino-terminal residues of Smac/Diablo with the BIR3 region of XIAP, supplemented with several other hydrophobic interactions between the helical structures of Smac/Diablo and other areas of BIR3.	Smac-M-QC
SMAD1	Smad1-R-V_GBL1115748.txt	Smad1-R-V	Validated	Rabbit	Epitomics	1649-1	Mediates TGF beta signaling	Smad1
SMAD3	Smad3-R-V_GBL1115730.txt	Smad3-R-V	Validated	Rabbit	Epitomics	1735-1	Mediates TGF beta signaling	Smad3
SMAD4	Smad4-M-V_GBL1115834.txt	Smad4-M-V	Validated	Mouse	Santa Cruz	sc-7966	Mediates TGF beta signaling	Smad4
SNAI1	Snail-M-QC_GBL1115826.txt	Snail-M-QC	**Used for QC**	Mouse	CST	3895	Snail is a zinc-finger transcription factor that can repress E-cadherin transcription. Downregulation of E-cadherin is associated with epithelial-mesenchymal transition during embryonic development, a process also exploited by invasive cancer cells. Indeed, loss of E-cadherin expression is correlated with the invasive properties of some tumors and there is a considerable inverse correlation between Snail and E-cadherin mRNA levels in epithelial tumor cell lines. In addition, Snail blocks the cell cycle and confers resistance to cell death. Phosphorylation of Snail by GSK-3 and PAK1 regulates its stability, cellular localization and function.	Snail-M-QC
SRC	Src-M-V_GBL1115827.txt	Src-M-V	Validated	Mouse	Upstate (Millipore)	05-184	A member of Src family of protein tyrosine kinases	Src
SRC	Src_pY416-R-C_GBL1115709.txt	Src_pY416-R-C	Use with Caution	Rabbit	CST	2101	A member of Src family of protein tyrosine kinases	Src_pY416
SRC	Src_pY527-R-V_GBL1115710.txt	Src_pY527-R-V	Validated	Rabbit	CST	2105	A member of Src family of protein tyrosine kinases	Src_pY527
STAT3	STAT3_pY705-R-V_GBL1115711.txt	STAT3_pY705-R-V	Validated	Rabbit	CST	9131	Signal transducer and activator of transcription 3 functions both in signal transduction and activation of transcription	STAT3_pY705
STAT5A	STAT5-alpha-R-V_GBL1115713.txt	STAT5-alpha-R-V	Validated	Rabbit	Epitomics	1289-1	Signal transducer and activator of transcription 5 functions both in signal transduction and activation of transcription	STAT5-alpha
STMN1	Stathmin-R-V_GBL1115718.txt	Stathmin-R-V	Validated	Rabbit	Epitomics	1972-1	Ubiquitous cytosolic phosphoprotein	Stathmin
SYK	Syk-M-V_GBL1115800.txt	Syk-M-V	Validated	Mouse	Santa Cruz	sc-1240	One of several members of the protein kinase superfamily involved in PI3K and PLC signaling	Syk
WWTR1	TAZ-R-V_GBL1115727.txt	TAZ-R-V	Validated	Rabbit	CST	2149	Transcriptional co-activator	TAZ
TFRC	TFRC-R-V_GBL1115787.txt	TFRC-R-V	Validated	Rabbit	SDI / Novus	22500002	Transferrin Receptor	TFRC
TIGAR	TIGAR-R-V_GBL1115810.txt	TIGAR-R-V	Under Evaluation	Rabbit	Epitomics	S1711	Regulates p53 tumor suppresor pathway and glycolysis	TIGAR
TGM2	Transglutaminase-M-V_GBL1115832.txt	Transglutaminase-M-V	Validated	Mouse	Lab Vision	MS-224	Transglutaminases catalyze the posttranslational modification of proteins by transamidation of available glutamine residues. Reported to facilitate breast cancer metastasis.	Transglutaminase
TSC1	TSC1-R-C_GBL1115779.txt	TSC1-R-C	Use with Caution	Rabbit	CST	4906	The tumor suppressor genes TSC1 encode hamartin functions as a GTPase-activating protein for the Ras-related small G protein Rheb and thus inhibits targets of rapamycin including mTOR to regulate G1 phase of the cell cycle, steroid hormone regulation, Rho activation and anchoring neuronal intermediate filaments to the actin cytoskeleton. 	TSC1
NKX2-1	TTF1-R-V_GBL1115768.txt	TTF1-R-V	Valid	Rabbit	Abcam	ab76013	TTF1 is a transcription factor that binds and activates the promoter of thyroid specific genes such as thyroglobulin, thyroperoxidase, and thyrotropin receptor. Crucial in the maintenance of the thyroid differentiation phenotype. May play a role in lung development and surfactant homeostasis.	TTF1
TSC2	Tuberin-R-E_GBL1115714.txt	Tuberin-R-E	Validated	Rabbit	Epitomics	1613-1	Tuberous sclerosis complex-2 (TSC2 also known as Tuberin) is a tumor suppressor that forms a complex with TSC1 (Hamartin ) and this complex is known to control various cellular functions including cell cycle, endocytosis, adhesion, and transcription. Involved in AKT/mTOR signaling. 	Tuberin
TSC2	Tuberin_pT1462-R-V_GBL1115715.txt	Tuberin_pT1462-R-V	Validated	Rabbit	CST	3617	Tuberin is a product of the TSC2 tumor suppressor gene and an important regulator of cell proliferation and tumor development. Involved in AKT/mTOR signaling. 	Tuberin_pT1462
KDR	VEGFR2-R-V_GBL1115716.txt	VEGFR2-R-V	Validated	Rabbit	CST	2479	A major receptor for VEGF-induced signaling in endothelial cells	VEGFR2
VHL	VHL-M-QC_GBL1115828.txt	VHL-M-QC	Use with Caution	Mouse	BD Pharmingen	556347	Transfection Factor	VHL-M-QC
XBP1	XBP1-G-C_GBL1115805.txt	XBP1-G-C	Use with Caution	Goat	Santa Cruz	sc-32136	The X-box binding protein-1 plays a role in regulation of expression of osteoblast-specific genes.	XBP1
XRCC1	XRCC1-R-E_GBL1115746.txt	XRCC1-R-E	Under Evaluation	Rabbit	CST	2735	A DNA repair protein important in both single strand break repair and base excision repair following damage from ionizing radiation and alkylating agents	XRCC1
YAP1	YAP-R-E_GBL1115728.txt	YAP-R-E	Under Evaluation	Rabbit	Santa Cruz	sc-15407	Involved in Src, AKT and MAPK signaling	YAP
YAP1	YAP_pS127-R-E_GBL1115729.txt	YAP_pS127-R-E	Under Evaluation	Rabbit	CST	4911	Involved in Src, AKT and MAPK signaling	YAP_pS127
YBX1	YB-1-R-V_GBL1115717.txt	YB-1-R-V	Validated	Rabbit	SDI	1725.00.02	Belongs to a family of evolutionarily conserved, multifunctional Y-box proteins that bind to DNA and RNA,  function as regulators of transcription, RNA metabolism, and protein synthesis	YB-1
YBX1	YB-1_pS102-R-V_GBL1115735.txt	YB-1_pS102-R-V	Validated	Rabbit	CST	2900	Belongs to a family of evolutionarily conserved, multifunctional Y-box proteins that bind to DNA and RNA,  function as regulators of transcription, RNA metabolism, and protein synthesis	YB-1_pS102
